index,x,y,requirement
1,1268.491263,453.572581,33
2,1222.619624,427.360215,35
3,1345.256048,492.891129,22
4,1151.471774,429.232527,29
5,1265.682796,527.528898,28
6,1207.641129,589.315188,34
7,1167.386425,630.506048,37
8,1166.450269,582.762097,45
9,1142.110215,528.465054,37
10,1045.686156,503.188844,45
11,1087.813172,597.740591,50
12,948.325941,605.229839,33
13,831.306452,426.424059,29
14,816.327957,350.59543,35
15,927.730511,382.424731,43
16,823.817204,493.827285,42
17,816.327957,584.634409,23
18,689.946909,444.211022,34
19,760.158602,241.065188,31
20,678.713038,271.958333,37
21,567.310484,409.573253,41
22,568.24664,333.744624,24
23,529.864247,461.997984,29
24,420.334005,459.189516,32
25,191.911962,335.616935,32
26,240.59207,211.108199,22
27,400.674731,204.555108,24
28,541.098118,235.448253,26
29,596.331317,482.593414,33
30,695.563844,501.316532,31
